item;condition;itemName;information status;contextType;NAI_type;participantQuestion;contextSentence;polarQuestion;indirectAnswer
3;4;running;at-issue-implicit ;negative;NA;“What kind of running do you do?”;“I recently started running during my work breaks.”;“Will you participate in the city run this weekend?”;“It’s a marathon.”
3;5;running;no-longer-at-issue;positive;NA;“What kind of running do you do?”;“As a marathon runner, I love exploring new trails in nature.”;“Will you participate in the city run this weekend?”;“It’s a marathon.”
3;6;running;no-longer-at-issue;negative;NA;“What kind of running do you do?”;“As a beginner, I love exploring new routes.”;“Will you participate in the city run this weekend?”;“It’s a marathon.”
3;7;running;never-at-issue;positive;too;“What kind of running do you do?”;“I love running with my friends who are also marathon runners!”;“Will you participate in the city run this weekend?”;“It’s a marathon.”
3;8;running;never-at-issue;negative ;too;“What kind of running do you do?”;“I love running with my friends who are also marathon runners!”;“Will you participate in the city run this weekend?”;“It’s a marathon.”
4;1;festivals;at-issue-explicit;positive;NA;“Have you heard of the music festival this weekend?”;“I’m playing guitar in one of the bands performing there.”;“Are you going to the festival on Friday?” ;“Friday is the band-only soundcheck day.”
4;2;festivals;at-issue-explicit;negative;NA;“Have you heard of the music festival this weekend?”;“I’m really excited to see the headliner perform.”;“Are you going to the festival on Friday?” ;“Friday is the band-only soundcheck day.”
4;3;festivals;at-issue-implicit;positive;NA;“Have you heard of the music festival this weekend?”;“My band has been rehearsing all week!”;“Are you going to the festival on Friday?” ;“Friday is the band-only soundcheck day.”
4;4;festivals;at-issue-implicit ;negative;NA;“Have you heard of the music festival this weekend?”;“I’ve been listening to the headliner nonstop lately.”;“Are you going to the festival on Friday?” ;“Friday is the band-only soundcheck day.”
4;5;festivals;no-longer-at-issue;positive;NA;“Have you heard of the music festival this weekend?”;“As a guitarist in a band that’s playing it, I definitely have heard of it!”;“Are you going to the festival on Friday?” ;“Friday is the band-only soundcheck day.”
4;6;festivals;no-longer-at-issue;negative;NA;“Have you heard of the music festival this weekend?”;“As a huge fan of the headliner, I definitely have heard of it!”;“Are you going to the festival on Friday?” ;“Friday is the band-only soundcheck day.”
4;7;festivals;never-at-issue;positive;like me;“Have you heard of the music festival this weekend?”;“Yes, my bandmates are all super excited about playing it!”;“Are you going to the festival on Friday?” ;“Friday is the band-only soundcheck day.”
4;8;festivals;never-at-issue;negative ;like me;“Have you heard of the music festival this weekend?”;“Fangirls like me obviously know about the music festival.”;“Are you going to the festival on Friday?” ;“Friday is the band-only soundcheck day.”
5;1;chess;at-issue-explicit;positive;NA;“What do you enjoy about playing chess?”;“I’m a professional chess player.”;“Are you entering the tournament this weekend?”;“It’s a six-hour match format.”
5;2;chess;at-issue-explicit;negative;NA;“What do you enjoy about playing chess?”;“I’m a very casual chess player.”;“Are you entering the tournament this weekend?”;“It’s a six-hour match format.”
5;3;chess;at-issue-implicit;positive;NA;“What do you enjoy about playing chess?”;“Playing chess pays my rent.”;“Are you entering the tournament this weekend?”;“It’s a six-hour match format.”
5;4;chess;at-issue-implicit ;negative;NA;“What do you enjoy about playing chess?”;“I love the online games when I’m bored.”;“Are you entering the tournament this weekend?”;“It’s a six-hour match format.”
5;5;chess;no-longer-at-issue;positive;NA;“What do you enjoy about playing chess?”;“As a professional chess player, I enjoy learning new strategies.”;“Are you entering the tournament this weekend?”;“It’s a six-hour match format.”
5;6;chess;no-longer-at-issue;negative;NA;“What do you enjoy about playing chess?”;“As a casual chess player, I enjoy learning new strategies.”;“Are you entering the tournament this weekend?”;“It’s a six-hour match format.”
5;7;chess;never-at-issue;positive;too;“What do you enjoy about playing chess?”;“I enjoy playing against my friends who are also professional chess players.”;“Are you entering the tournament this weekend?”;“It’s a six-hour match format.”
5;8;chess;never-at-issue;negative ;too;“What do you enjoy about playing chess?”;“I enjoy playing against my friends who are also casual chess players.”;“Are you entering the tournament this weekend?”;“It’s a six-hour match format.”
6;1;concerts;at-issue-explicit;positive;NA;“What kind of concerts do you like?”;“I like all classical concerts.”;“Are you going to the concert in the town hall on Saturday?”;“It's a string quartet.”
6;2;concerts;at-issue-explicit;negative;NA;“What kind of concerts do you like?”;“I like all rock concerts.”;“Are you going to the concert in the town hall on Saturday?”;“It's a string quartet.”
6;3;concerts;at-issue-implicit;positive;NA;“What kind of concerts do you like?”;“I was raised on Mozart and Chopin.” ;“Are you going to the concert in the town hall on Saturday?”;“It's a string quartet.”
6;4;concerts;at-issue-implicit ;negative;NA;“What kind of concerts do you like?”;“I was raised on Led Zeppelin and AC/DC.”;“Are you going to the concert in the town hall on Saturday?”;“It's a string quartet.”
6;5;concerts;no-longer-at-issue;positive;NA;“What kind of concerts do you like?”;“As a classical concert enjoyer, I especially love concerts where I can discover new music.”;“Are you going to the concert in the town hall on Saturday?”;“It's a string quartet.”
6;6;concerts;no-longer-at-issue;negative;NA;“What kind of concerts do you like?”;“As a rock concert fan, I especially love concerts where I can discover new music.”;“Are you going to the concert in the town hall on Saturday?”;“It's a string quartet.”
6;7;concerts;never-at-issue;positive;too;“What kind of concerts do you like?”;“I always enjoy going to concerts with my friends who like classical concerts too!”;“Are you going to the concert in the town hall on Saturday?”;“It's a string quartet.”
6;8;concerts;never-at-issue;negative ;too;“What kind of concerts do you like?”;“I always enjoy going to concerts with my friends who like rock concerts too!” ;“Are you going to the concert in the town hall on Saturday?”;“It's a string quartet.”
7;1;books;at-issue-explicit;positive;NA;“What kind of books do you like to read?”;“I love reading really long novels.”;“Have you read the new book that just came out?”;“It’s 600 pages long.”
7;2;books;at-issue-explicit;negative;NA;“What kind of books do you like to read?”;“I prefer short books.”;“Have you read the new book that just came out?”;“It’s 600 pages long.”
7;3;books;at-issue-implicit;positive;NA;“What kind of books do you like to read?”;“I love getting completely lost in huge stories.”;“Have you read the new book that just came out?”;“It’s 600 pages long.”
7;4;books;at-issue-implicit ;negative;NA;“What kind of books do you like to read?”;“I usually look for something I can finish in a day.”;“Have you read the new book that just came out?”;“It’s 600 pages long.”
7;5;books;no-longer-at-issue;positive;NA;“What kind of books do you like to read?”;“As someone who loves long novels, I love finding new releases to read.” ;“Have you read the new book that just came out?”;“It’s 600 pages long.”
7;6;books;no-longer-at-issue;negative;NA;“What kind of books do you like to read?”;“As someone who prefers short books, I love finding new releases to read.”;“Have you read the new book that just came out?”;“It’s 600 pages long.”
7;7;books;never-at-issue;positive;too;“What kind of books do you like to read?”;“I’m in a book club with my friends who also love reading really long novels.”;“Have you read the new book that just came out?”;“It’s 600 pages long.”
7;8;books;never-at-issue;negative ;too;“What kind of books do you like to read?”;“I'm in a book club with my friends who also love short books.” ;“Have you read the new book that just came out?”;“It’s 600 pages long.”
8;1;antique shopping;at-issue-explicit;positive;NA;“What kind of antique shopping do you like to do?”;“I’m a collector of very rare art pieces.”;“Do you like the new antique store in town?”;“It has very expensive paintings.”
8;2;antique shopping;at-issue-explicit;negative;NA;“What kind of antique shopping do you like to do?”;“I'm a bargain hunter.”;“Do you like the new antique store in town?”;“It has very expensive paintings.”
8;3;antique shopping;at-issue-implicit;positive;NA;“What kind of antique shopping do you like to do?”;“I’ve been hunting for some Monets and Renoirs lately.”;“Do you like the new antique store in town?”;“It has very expensive paintings.”
8;4;antique shopping;at-issue-implicit ;negative;NA;“What kind of antique shopping do you like to do?”;“I’ve been trying to recreate my parent’s 80’s clothing style.”;“Do you like the new antique store in town?”;“It has very expensive paintings.”
8;5;antique shopping;no-longer-at-issue;positive;NA;“What kind of antique shopping do you like to do?”;“As a collector of rare art pieces, I enjoy searching for unique pieces.”;“Do you like the new antique store in town?”;“It has very expensive paintings.”
8;6;antique shopping;no-longer-at-issue;negative;NA;“What kind of antique shopping do you like to do?”;“As a bargain hunter, I enjoy searching for unique pieces.”;“Do you like the new antique store in town?”;“It has very expensive paintings.”
8;7;antique shopping;never-at-issue;positive;like me;“What kind of antique shopping do you like to do?”;“Rare art collectors like me love searching for unique pieces.”;“Do you like the new antique store in town?”;“It has very expensive paintings.”
8;8;antique shopping;never-at-issue;negative ;like me;“What kind of antique shopping do you like to do?”;“Bargain hunters like me love searching for unique pieces.”;“Do you like the new antique store in town?”;“It has very expensive paintings.”
9;1;the gym;at-issue-explicit;positive;NA;“When do you usually go to the gym?”;“I'm an early bird!”;“Do you usually go to the gym’s pilates class?”;“It starts at 7am.”
9;2;the gym;at-issue-explicit;negative;NA;“When do you usually go to the gym?”;“I’m a night owl!”;“Do you usually go to the gym’s pilates class?”;“It starts at 7am.”
9;3;the gym;at-issue-implicit;positive;NA;“When do you usually go to the gym?”;“I quite like to get there before it gets too busy.”;“Do you usually go to the gym’s pilates class?”;“It starts at 7am.”
9;4;the gym;at-issue-implicit ;negative;NA;“When do you usually go to the gym?”;“I like going after everyone else has already left.”;“Do you usually go to the gym’s pilates class?”;“It starts at 7am.”
9;5;the gym;no-longer-at-issue;positive;NA;“When do you usually go to the gym?”;“As an early bird, I really enjoy going outside of the rush hours.”;“Do you usually go to the gym’s pilates class?”;“It starts at 7am.”
9;6;the gym;no-longer-at-issue;negative;NA;“When do you usually go to the gym?”;“As a night owl, I really enjoy going outside of the rush hours.”;“Do you usually go to the gym’s pilates class?”;“It starts at 7am.”
9;7;the gym;never-at-issue;positive;like me;“When do you usually go to the gym?”;“Early birds like me love to get a workout in every day.”;“Do you usually go to the gym’s pilates class?”;“It starts at 7am.”
9;8;the gym;never-at-issue;negative ;like me;“When do you usually go to the gym?”;“Night owls like me love to get a workout in every day.”;“Do you usually go to the gym’s pilates class?”;“It starts at 7am.”
10;1;food;at-issue-explicit;positive;NA;“What kinds of food do you like the most?”;“I’m a chili enthusiast.”;“Are you going to try the new restaurant in town?”;“Their food is meant to be really spicy.”
10;2;food;at-issue-explicit;negative;NA;“What kinds of food do you like the most?”;“Anything mild, I can’t handle spicy food.”;“Are you going to try the new restaurant in town?”;“Their food is meant to be really spicy.”
10;3;food;at-issue-implicit;positive;NA;“What kinds of food do you like the most?”;“I just bought a new chili sauce to try.”;“Are you going to try the new restaurant in town?”;“Their food is meant to be really spicy.”
10;4;food;at-issue-implicit ;negative;NA;“What kinds of food do you like the most?”;“I love mashed potatoes and coleslaw.”;“Are you going to try the new restaurant in town?”;“Their food is meant to be really spicy.”
10;5;food;no-longer-at-issue;positive;NA;“What kinds of food do you like the most?”;“As a chili enthusiast, I’m love trying new foods.”;“Are you going to try the new restaurant in town?”;“Their food is meant to be really spicy.”
10;6;food;no-longer-at-issue;negative;NA;“What kinds of food do you like the most?”;“Although I’m someone who can’t handle spicy food, I love trying new foods.”;“Are you going to try the new restaurant in town?”;“Their food is meant to be really spicy.”
10;7;food;never-at-issue;positive;too;“What kinds of food do you like the most?”;“I love the food my friends who love spicy food too are cooking.”;“Are you going to try the new restaurant in town?”;“Their food is meant to be really spicy.”
10;8;food;never-at-issue;negative ;too;“What kinds of food do you like the most?”;“I love the food my friends who can’t handle spicy food either are cooking.”;“Are you going to try the new restaurant in town?”;“Their food is meant to be really spicy.”
